,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,agegroup,hoursgroup,nativecountry,income
14386,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
14387,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
14388,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,50 - 59,30 - 39,United-States,<=50K
14389,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,30 - 39,40 - 49,United-States,>50K
14390,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Female,40 - 49,50 - 59,United-States,<=50K
14391,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,0 - 9,United-States,<=50K
14392,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
14393,Private,10th,6,Never-married,Other-service,Own-child,White,Male,10 - 19,40 - 49,United-States,<=50K
14394,Private,12th,8,Married-spouse-absent,Other-service,Unmarried,Black,Female,20 - 29,50 - 59,United-States,<=50K
14395,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,20 - 29,30 - 39,United-States,<=50K
14396,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,20 - 29,40 - 49,United-States,<=50K
14398,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,30 - 39,30 - 39,United-States,<=50K
14399,Local-gov,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14400,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,40 - 49,United-States,>50K
14401,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
14402,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,60 - 69,50 - 59,United-States,<=50K
14403,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,20 - 29,20 - 29,United-States,<=50K
14405,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,30 - 39,40 - 49,United-States,>50K
14406,Local-gov,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,40 - 49,United-States,>50K
14407,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20 - 29,30 - 39,United-States,<=50K
14408,Private,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,50 - 59,40 - 49,United-States,<=50K
14409,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
14410,Federal-gov,Some-college,10,Divorced,Handlers-cleaners,Unmarried,Black,Female,30 - 39,40 - 49,United-States,<=50K
14411,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,20 - 29,30 - 39,Italy,<=50K
14412,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,10 - 19,30 - 39,United-States,<=50K
14413,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,30 - 39,United-States,<=50K
14416,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,30 - 39,40 - 49,United-States,<=50K
14417,Private,10th,6,Never-married,Craft-repair,Other-relative,White,Male,20 - 29,30 - 39,United-States,<=50K
14418,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
14419,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
14420,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50 - 59,40 - 49,Puerto-Rico,<=50K
14421,Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,10 - 19,60 - 69,United-States,<=50K
14422,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
14423,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,30 - 39,50 - 59,United-States,<=50K
14424,Private,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,60 - 69,30 - 39,United-States,<=50K
14425,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,20 - 29,40 - 49,United-States,>50K
14426,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,50 - 59,United-States,<=50K
14427,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40 - 49,40 - 49,United-States,>50K
14428,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,20 - 29,30 - 39,United-States,<=50K
14429,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,30 - 39,60 - 69,United-States,>50K
14430,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,40 - 49,United-States,<=50K
14431,Private,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14432,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,30 - 39,40 - 49,United-States,<=50K
14433,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,White,Male,40 - 49,50 - 59,United-States,<=50K
14435,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,20 - 29,40 - 49,United-States,<=50K
14436,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,50 - 59,60 - 69,United-States,<=50K
14437,Private,Some-college,10,Divorced,Sales,Unmarried,White,Male,40 - 49,50 - 59,United-States,>50K
14438,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
14439,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
14440,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,20 - 29,40 - 49,United-States,>50K
14441,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60 - 69,40 - 49,United-States,>50K
14442,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,50 - 59,Mexico,<=50K
14443,Private,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
14444,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Tech-support,Husband,White,Male,50 - 59,90 - 99,United-States,<=50K
14445,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
14446,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,20 - 29,10 - 19,United-States,<=50K
14447,Local-gov,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,40 - 49,40 - 49,United-States,>50K
14450,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
14451,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
14452,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,50 - 59,30 - 39,United-States,<=50K
14454,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,50 - 59,50 - 59,United-States,>50K
14455,Federal-gov,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,30 - 39,40 - 49,United-States,<=50K
14456,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
14457,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,20 - 29,20 - 29,United-States,<=50K
14458,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,Black,Female,50 - 59,40 - 49,United-States,<=50K
14459,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,40 - 49,United-States,<=50K
14460,Private,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,20 - 29,0 - 9,United-States,<=50K
14461,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,40 - 49,40 - 49,United-States,<=50K
14462,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,20 - 29,40 - 49,United-States,<=50K
14463,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,50 - 59,20 - 29,United-States,<=50K
14464,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
14465,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
14466,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
14467,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,40 - 49,40 - 49,El-Salvador,<=50K
14468,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,30 - 39,40 - 49,United-States,<=50K
14469,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,20 - 29,40 - 49,United-States,<=50K
14470,State-gov,9th,5,Separated,Machine-op-inspct,Not-in-family,Black,Male,40 - 49,40 - 49,United-States,<=50K
14471,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
14472,State-gov,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,40 - 49,40 - 49,United-States,<=50K
14473,Private,11th,7,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,20 - 29,60 - 69,United-States,>50K
14474,State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40 - 49,40 - 49,United-States,<=50K
14475,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
14476,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,70 - 79,20 - 29,United-States,<=50K
14477,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,20 - 29,60 - 69,United-States,<=50K
14478,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
14479,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,70 - 79,20 - 29,United-States,<=50K
14480,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
14481,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Female,30 - 39,40 - 49,United-States,<=50K
14482,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,50 - 59,40 - 49,United-States,<=50K
14483,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
14485,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,60 - 69,40 - 49,Italy,<=50K
14486,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
14487,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70 - 79,10 - 19,United-States,<=50K
14488,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,20 - 29,40 - 49,United-States,<=50K
14489,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,Puerto-Rico,<=50K
14491,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,Germany,>50K
14492,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,50 - 59,40 - 49,South,>50K
14493,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,Nicaragua,<=50K
14494,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,10 - 19,10 - 19,United-States,<=50K
14495,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,20 - 29,40 - 49,United-States,<=50K
14496,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,50 - 59,Germany,>50K
14497,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,20 - 29,40 - 49,Poland,>50K
14498,State-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,40 - 49,40 - 49,United-States,<=50K
14499,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
14500,Private,5th-6th,3,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,50 - 59,10 - 19,Haiti,<=50K
14501,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,10 - 19,40 - 49,United-States,<=50K
14502,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40 - 49,60 - 69,United-States,<=50K
14503,Private,Assoc-acdm,12,Never-married,Sales,Own-child,Black,Female,20 - 29,30 - 39,United-States,<=50K
14504,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
14505,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,30 - 39,40 - 49,United-States,<=50K
14506,Private,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14507,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,30 - 39,40 - 49,United-States,<=50K
14508,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,20 - 29,20 - 29,United-States,>50K
14510,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
14511,Private,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,20 - 29,40 - 49,Philippines,<=50K
14512,Local-gov,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40 - 49,40 - 49,United-States,<=50K
14513,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
14514,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,20 - 29,40 - 49,United-States,<=50K
14515,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
14516,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,20 - 29,40 - 49,United-States,<=50K
14517,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
14518,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,30 - 39,United-States,<=50K
14519,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,30 - 39,40 - 49,United-States,<=50K
14520,Private,11th,7,Divorced,Other-service,Not-in-family,Black,Female,70 - 79,30 - 39,United-States,<=50K
14521,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,10 - 19,40 - 49,United-States,<=50K
14522,Self-emp-inc,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40 - 49,70 - 79,United-States,<=50K
14523,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
14524,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,30 - 39,40 - 49,United-States,<=50K
14525,Self-emp-not-inc,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14526,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,20 - 29,30 - 39,United-States,<=50K
14527,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
14528,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Other,Male,40 - 49,40 - 49,United-States,>50K
14529,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
14530,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
14531,Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,30 - 39,40 - 49,United-States,>50K
14532,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
14533,Private,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,60 - 69,10 - 19,United-States,<=50K
14534,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,40 - 49,30 - 39,United-States,<=50K
14535,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Female,20 - 29,40 - 49,United-States,<=50K
14536,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,20 - 29,40 - 49,United-States,<=50K
14537,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14538,Private,7th-8th,4,Never-married,Machine-op-inspct,Not-in-family,Black,Female,50 - 59,40 - 49,United-States,<=50K
14539,Private,Prof-school,15,Widowed,Prof-specialty,Unmarried,White,Female,60 - 69,10 - 19,United-States,<=50K
14540,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,20 - 29,40 - 49,United-States,>50K
14542,Private,11th,7,Never-married,Sales,Own-child,White,Female,10 - 19,0 - 9,United-States,<=50K
14543,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,20 - 29,70 - 79,United-States,<=50K
14544,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
14545,Private,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Female,40 - 49,40 - 49,Trinadad&Tobago,<=50K
14546,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,50 - 59,50 - 59,United-States,>50K
14547,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,30 - 39,30 - 39,Japan,<=50K
14548,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
14549,Private,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
14551,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,50 - 59,United-States,<=50K
14553,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,80 - 89,United-States,<=50K
14554,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
14555,Private,7th-8th,4,Never-married,Farming-fishing,Own-child,White,Male,40 - 49,40 - 49,United-States,<=50K
14556,Private,10th,6,Never-married,Sales,Other-relative,Black,Female,10 - 19,40 - 49,United-States,<=50K
14558,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,60 - 69,40 - 49,United-States,<=50K
14559,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,20 - 29,80 - 89,United-States,<=50K
14560,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,20 - 29,40 - 49,United-States,>50K
14561,State-gov,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Male,40 - 49,50 - 59,France,>50K
14562,Local-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14563,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
14564,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,20 - 29,30 - 39,Mexico,<=50K
14565,Private,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
14566,Private,Assoc-acdm,12,Widowed,Tech-support,Unmarried,White,Female,40 - 49,20 - 29,United-States,<=50K
14567,Private,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
14568,Private,10th,6,Divorced,Other-service,Not-in-family,Black,Female,60 - 69,40 - 49,United-States,<=50K
14569,Federal-gov,HS-grad,9,Separated,Exec-managerial,Not-in-family,Black,Female,40 - 49,40 - 49,United-States,<=50K
14570,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
14571,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,30 - 39,United-States,>50K
14572,Private,7th-8th,4,Married-civ-spouse,Other-service,Wife,White,Female,30 - 39,40 - 49,United-States,<=50K
14573,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Female,30 - 39,30 - 39,United-States,<=50K
14575,Private,9th,5,Widowed,Other-service,Not-in-family,White,Female,50 - 59,20 - 29,Puerto-Rico,<=50K
14576,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,20 - 29,40 - 49,United-States,<=50K
14577,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,60 - 69,40 - 49,United-States,>50K
14578,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,30 - 39,60 - 69,United-States,<=50K
14579,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
14580,Private,Some-college,10,Separated,Other-service,Unmarried,White,Female,30 - 39,20 - 29,United-States,<=50K
14581,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Unmarried,Black,Female,30 - 39,40 - 49,United-States,<=50K
14582,Private,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,60 - 69,40 - 49,United-States,<=50K
14583,Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Own-child,White,Male,10 - 19,20 - 29,United-States,<=50K
14585,Local-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
14586,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
14587,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,20 - 29,United-States,<=50K
14588,Private,10th,6,Never-married,Sales,Own-child,White,Female,10 - 19,10 - 19,United-States,<=50K
14589,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,20 - 29,40 - 49,Guatemala,<=50K
14590,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,20 - 29,40 - 49,India,<=50K
14591,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,20 - 29,50 - 59,United-States,<=50K
14592,Self-emp-inc,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Male,60 - 69,40 - 49,United-States,<=50K
14593,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
14594,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20 - 29,40 - 49,Puerto-Rico,<=50K
14596,Private,7th-8th,4,Widowed,Other-service,Unmarried,Black,Female,70 - 79,30 - 39,United-States,<=50K
14598,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
14599,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,10 - 19,20 - 29,United-States,<=50K
14600,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40 - 49,60 - 69,United-States,>50K
14601,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,30 - 39,40 - 49,United-States,<=50K
14602,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,20 - 29,60 - 69,Poland,<=50K
14603,Local-gov,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,20 - 29,50 - 59,United-States,<=50K
14604,Private,5th-6th,3,Never-married,Handlers-cleaners,Own-child,White,Male,30 - 39,40 - 49,El-Salvador,<=50K
14605,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,10 - 19,20 - 29,United-States,<=50K
14606,Private,Some-college,10,Divorced,Farming-fishing,Unmarried,White,Female,30 - 39,40 - 49,United-States,<=50K
14607,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
14608,Local-gov,Masters,14,Divorced,Adm-clerical,Unmarried,White,Female,30 - 39,40 - 49,United-States,<=50K
14609,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14610,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,70 - 79,United-States,<=50K
14611,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,60 - 69,30 - 39,United-States,<=50K
14612,Private,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,30 - 39,50 - 59,United-States,<=50K
14613,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
14614,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,40 - 49,40 - 49,United-States,<=50K
14615,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
14616,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,30 - 39,10 - 19,United-States,<=50K
14617,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14618,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
14619,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,20 - 29,40 - 49,United-States,<=50K
14620,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Male,20 - 29,40 - 49,United-States,<=50K
14622,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,50 - 59,40 - 49,United-States,<=50K
14623,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,70 - 79,20 - 29,United-States,<=50K
14624,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
14625,Private,11th,7,Never-married,Sales,Own-child,White,Female,10 - 19,0 - 9,United-States,<=50K
14626,Private,Some-college,10,Widowed,Prof-specialty,Own-child,White,Female,30 - 39,40 - 49,United-States,<=50K
14628,Private,Bachelors,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,20 - 29,40 - 49,Philippines,<=50K
14629,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,40 - 49,40 - 49,United-States,<=50K
14630,Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,50 - 59,40 - 49,United-States,>50K
14631,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,30 - 39,20 - 29,United-States,<=50K
14632,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,30 - 39,60 - 69,United-States,<=50K
14633,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
14634,Self-emp-not-inc,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40 - 49,60 - 69,Jamaica,<=50K
